"country","code","year","prod_ktOil","use_ktOil","nuclearPerc","importPerc","renewPerc","fosilPerc"
"El Salvador","SLV",1993,1733.922,2982.47,15.3304475820377,41.8628854607087,42.8066669572536,41.6350876957689
"El Salvador","SLV",1994,1752.977,3158.796,15.018950258263,44.5048999682157,40.4994497903632,44.5115797284788
"El Salvador","SLV",1995,1791.133,3358.82,15.104828481431,46.673742564353,38.2433116392066,46.7414746845618
"El Salvador","SLV",1996,1822.41,3210.043,16.587316743109,43.2278633027657,40.2306448854423,43.1257774428567
"El Salvador","SLV",1997,1850.588,3552.546,15.2200140406345,47.908119979305,36.9132729034332,47.6536545902572
"El Salvador","SLV",1998,1849.547,3654.551,14.2942867673758,49.3905817705102,36.3956338275208,49.220684018365
"El Salvador","SLV",1999,2002.591,3792.114,17.5641080410557,47.1906435302314,35.3422391837376,46.5267394387405
"El Salvador","SLV",2000,2119.483,3967.995,19.5755791022922,46.5855425725083,33.9871900040197,44.9287612509592
"El Salvador","SLV",2001,2284.551,4151.362,22.415655392134,44.9686392080479,32.7574661038955,44.1867271512337
"El Salvador","SLV",2002,2321.301,4231.668,22.4879645567658,45.1445387492592,32.5239598191541,44.2076977683505
"El Salvador","SLV",2003,2394.748,4418.166,22.8173409509738,45.797690716012,31.5348268942362,45.0151940873204
"El Salvador","SLV",2004,2391.597,4382.27,22.5568940298065,45.4256127532078,32.1685792979438,44.5248695310878
"El Salvador","SLV",2005,2489.458,4508.548,23.2238405801602,44.7835977347918,32.1557184264202,44.078714477477
"El Salvador","SLV",2006,2630.76,4735.064,24.2608547635259,44.4408776734591,31.4536192119051,44.2818935499077
"El Salvador","SLV",2007,2334.24,4478.914,29.8650967622955,47.8837950449596,22.2511081927449,47.8242940141293
"El Salvador","SLV",2008,2491.867,4499.056,32.9207282594393,44.6135589332518,22.4657128073089,44.6250502327599
"El Salvador","SLV",2009,2212.267,4213.962,34.1621970013019,47.5014962166247,18.3363067820735,47.2382522671063
"El Salvador","SLV",2010,2261.202,4210.378,35.394351766041,46.2945607259016,18.3110875080575,46.1209421101858
"El Salvador","SLV",2011,2241.527,4318.688,34.540466919583,48.0970378040738,17.3624952763432,47.8700244148223
"Granada","GRD",1990,NA,42.474397,NA,NA,NA,0
"Granada","GRD",2004,NA,74,NA,NA,NA,0
"Granada","GRD",2005,NA,79,NA,NA,NA,0
"Granada","GRD",2006,NA,81,NA,NA,NA,0
"Granada","GRD",2007,NA,81,NA,NA,NA,0
"Guatemala","GTM",1971,1933.763,2734.511,0.817696472970853,29.2830418308795,69.8992616961497,29.2830418308795
"Guatemala","GTM",1972,1982.878,2819.937,0.680086115399032,29.6836064068098,69.6363074777912,29.6835709450247
"Guatemala","GTM",1973,2041.313,2945.629,0.680262178298761,30.700268092146,68.6194697295552,30.700268092146
"Guatemala","GTM",1974,2097.522,3026.824,0.713156761014185,30.7022145985363,68.5846286404495,30.7022476364665
"Guatemala","GTM",1975,2444.566,3332.169,0.732976028526764,26.6373944418786,72.6296295295947,26.6373944418786
"Guatemala","GTM",1976,2603.714,3563.843,0.755308244498986,26.9408332521943,71.9339768895543,27.3107709851416
